时间戳,液位高度(mm)
1773991179.941184,9.6
1773991180.2662165,9.6
1773991180.6187193,9.6
1773991181.290287,9.6
1773991181.8836348,9.6
1773991182.5101929,9.6
1773991182.8004482,9.6
1773991183.0976748,9.6
1773991183.3870835,9.6
1773991183.7102528,9.6
1773991184.0299318,9.6
1773991184.36085,9.6
1773991184.6698477,9.6
1773991185.020767,9.6
1773991185.3320725,9.6
1773991185.6724117,9.6
1773991185.9717503,9.6
1773991186.2902105,9.6
1773991186.622412,9.6
1773991186.9377906,9.6
1773991187.2439375,9.6
1773991187.5533433,9.6
1773991187.852806,9.6
1773991188.1834311,9.6
1773991188.483835,9.6
1773991188.8683853,9.6
1773991189.1695526,9.6
1773991189.4756932,9.6
1773991189.7809381,9.6
1773991190.107187,9.6
1773991190.4490895,9.6
1773991191.1334164,9.6
1773991191.4299548,9.6
1773991191.7267973,9.6
1773991192.045256,9.6
1773991192.3468745,9.6
1773991192.64877,9.6
1773991192.9538174,9.6
1773991193.5724194,16.38
1773991193.8852239,16.38
1773991194.1809845,16.38
1773991194.4939692,16.38
1773991194.7891548,16.38
1773991195.0810027,16.38
1773991195.3710725,16.38
1773991195.6646671,16.38
1773991195.9934063,16.38
1773991196.3079534,16.38
1773991196.5981588,16.38
1773991197.1783245,17.58
1773991197.4840128,17.58
1773991197.7730527,17.58
1773991198.077888,17.58
1773991198.37541,17.58
1773991198.727179,17.58
1773991199.0646455,17.58
1773991199.38311,17.58
1773991199.693404,17.58
1773991199.9981906,17.58
1773991200.289601,17.58
1773991200.5964842,17.58
1773991200.899081,17.58
1773991201.2058249,17.58
1773991201.4985883,17.58
1773991201.799099,17.58
1773991202.0930824,17.58
1773991202.4196827,17.58
1773991202.7663383,17.58
1773991203.0560727,17.58
1773991203.3555555,17.58
1773991203.6763246,17.58
1773991203.9698396,17.58
1773991204.2671611,17.58
1773991204.57825,17.58
1773991204.8842893,17.58
1773991205.2189715,17.58
1773991205.5619476,17.58
1773991205.8803167,17.58
1773991206.180602,17.58
1773991206.469669,17.58
1773991206.7787673,17.58
1773991207.6981497,17.75
1773991208.2812352,17.75
1773991208.6112406,17.75
1773991208.914408,17.75
1773991209.2198846,17.75
1773991209.8841329,19.45
1773991210.263895,19.45
1773991210.603102,19.45
1773991210.910086,19.45
1773991211.2031198,19.45
1773991211.488751,19.45
1773991211.7781959,19.45
1773991212.0673616,19.45
1773991212.360268,19.45
1773991212.6516669,19.45
1773991212.9551911,19.45
1773991213.2576315,19.45
1773991213.588947,19.45
1773991213.8829324,19.45
1773991214.1759377,19.45
1773991214.49854,19.45
1773991214.8521485,19.45
1773991215.1768048,19.45
1773991215.4830194,19.45
1773991215.8180745,19.45
1773991216.1287048,19.45
1773991218.3451917,11.74
1773991218.672177,11.74
1773991218.975759,11.74
1773991219.299176,11.74
1773991219.609452,11.74
1773991219.9286945,11.74
1773991220.250115,11.74
1773991220.6190267,11.74
1773991220.9376423,11.74
1773991221.3272307,11.74
1773991221.6411352,11.74
1773991221.9491477,11.74
1773991222.248817,11.74
1773991222.5424721,11.74
1773991222.869307,11.74
1773991223.224736,11.74
1773991223.5412798,11.74
1773991223.8870316,11.74
1773991224.2158058,11.74
1773991224.5704343,11.74
1773991224.8743114,11.74
1773991225.2182515,11.74
1773991225.5406873,11.74
1773991225.8702862,11.74
1773991226.2064617,11.74
1773991226.8300273,9.55
1773991227.1729143,9.55
1773991227.5475993,9.55
1773991227.904198,9.55
1773991228.2156525,9.55
1773991228.5684192,9.55
1773991228.8964708,9.55
1773991229.198161,9.55
1773991229.5401752,9.55
1773991229.8596795,9.55
1773991230.1650007,9.55
1773991230.495311,9.55
1773991230.841155,9.55
1773991231.2462518,9.55
1773991231.580336,9.55
1773991231.8957937,9.55
1773991232.1817603,9.55
1773991232.493754,9.55
1773991232.810659,9.55
1773991233.1387434,9.55
1773991233.4530501,9.55
1773991233.7860224,9.55
1773991234.0947115,9.55
1773991234.741507,9.55
1773991235.0434332,9.55
1773991235.651334,8.42
1773991236.6682138,7.36
1773991237.2737544,7.23
1773991237.6171565,7.23
1773991237.947281,7.23
1773991238.2971888,7.23
1773991238.673157,7.23
1773991239.0548902,7.23
1773991239.3596985,7.23
1773991239.7271907,7.23
1773991240.0330935,7.23
1773991240.351995,7.23
1773991240.6601999,7.23
1773991241.032977,7.23
1773991241.7518363,7.15
1773991242.0611217,7.15
1773991242.362449,7.15
1773991242.662718,7.15
1773991242.970684,7.15
1773991243.2786329,7.15
1773991243.6620207,7.15
1773991243.9625084,7.15
1773991244.2816246,7.15
1773991244.6255047,7.15
1773991244.926879,7.15
1773991245.279776,7.15
1773991245.6760552,7.15
1773991246.0054557,7.15
1773991246.3278022,7.15
1773991246.6393282,7.15
1773991246.9863443,7.15
1773991247.318961,7.15
1773991247.6731386,7.15
1773991248.004308,7.15
1773991248.3126915,7.15
1773991248.6531932,7.15
1773991248.9550412,7.15
1773991249.272578,7.15
1773991249.6236928,7.15
1773991250.2599387,7.14
1773991250.5856378,7.14
1773991250.9068542,7.14
1773991251.219705,7.14
1773991251.5407934,7.14
1773991251.8587224,7.14
1773991252.5122259,7.14
1773991252.8127885,7.14
1773991253.118533,7.14
1773991254.1577241,6.92
1773991254.4987116,6.92
1773991254.810471,6.92
1773991255.151423,6.92
1773991255.4702363,6.92
1773991255.7755032,6.92
1773991256.089925,6.92
1773991256.4049802,6.92
1773991256.7168715,6.92
1773991257.3720903,6.76
1773991257.6852658,6.76
1773991258.0051048,6.76
1773991258.3375683,6.76
1773991258.667237,6.76
1773991259.0003734,6.76
1773991259.3251786,6.76
1773991259.62618,6.76
1773991259.9304879,6.76
1773991260.235701,6.76
1773991260.5383708,6.76
1773991260.8450634,6.76
