时间戳,液位高度(mm)
1773906044.9721332,10.0
1773906045.267589,10.0
1773906045.5825083,10.0
1773906045.939861,10.0
1773906046.310317,10.0
1773906046.6244867,10.0
1773906046.960337,10.0
1773906047.3357923,10.0
1773906047.672038,10.0
1773906047.9969451,10.0
1773906048.376075,10.0
1773906048.746884,10.0
1773906049.08277,10.0
1773906049.4082835,10.0
1773906049.7307081,10.0
1773906050.0930343,10.0
1773906050.5277722,10.0
1773906050.9524229,10.0
1773906051.2493703,10.0
1773906051.5848014,10.0
1773906051.8772042,10.0
1773906052.2086968,10.0
1773906052.577645,10.0
1773906052.9347115,10.0
1773906053.2751162,10.0
1773906053.6360621,10.0
1773906053.982756,10.0
1773906054.309138,10.0
1773906054.6047223,10.0
1773906054.926511,10.0
1773906055.2243857,10.0
1773906055.5164351,10.0
1773906055.8126109,10.0
1773906056.1385818,10.0
1773906056.4658945,10.0
1773906056.7927992,10.0
1773906057.1089573,10.0
1773906057.4228241,10.0
1773906057.772315,10.0
1773906058.0635068,10.0
1773906058.3718805,10.0
1773906058.779289,10.0
1773906059.1114454,10.0
1773906059.4594603,10.0
1773906059.7860918,10.0
1773906060.1050656,10.0
1773906060.4463606,10.0
1773906060.8974752,10.0
1773906061.2016025,10.0
1773906061.5907838,10.0
1773906061.9414241,10.0
1773906062.2930386,10.0
1773906062.5954394,10.0
1773906062.9120338,10.0
1773906063.2131138,10.0
1773906063.5496461,10.0
1773906063.9209776,10.0
1773906064.278731,10.0
1773906064.5775733,10.0
1773906064.9101675,10.0
1773906065.2604485,10.0
1773906065.5525491,10.0
1773906065.8702807,10.0
1773906066.184053,10.0
1773906066.4935102,10.0
1773906066.8359547,10.0
1773906067.1902232,10.0
1773906067.5103781,10.0
1773906067.8206306,10.0
1773906068.1603222,10.0
1773906068.5203445,10.0
1773906068.8588822,10.0
1773906069.1701605,10.0
1773906069.5126803,10.0
1773906069.81256,10.0
1773906070.1420941,10.0
1773906070.593838,10.0
1773906070.9257836,10.0
1773906071.318763,10.0
1773906071.6566484,10.0
1773906072.1296606,10.0
1773906072.5701327,10.0
1773906073.0637524,10.0
1773906073.5419679,10.0
1773906074.0306752,10.0
1773906074.4888318,10.0
1773906074.8420594,10.0
1773906075.309398,10.0
1773906075.7760925,10.0
1773906076.2393682,10.0
1773906076.7061415,10.0
1773906077.1716313,10.0
1773906077.6490936,10.0
1773906078.1149518,10.0
1773906078.5862834,10.0
1773906079.0621133,10.0
1773906079.5269685,10.0
1773906079.9249766,10.0
