检测时间记录 - 1.mp4
开始时间: 2026-03-25 19:48:18.024
--------------------------------------------------------------------------------
帧号         时间戳                            检测耗时(ms)       
--------------------------------------------------------------------------------
1          2026-03-25 19:48:18.082        120.98         
2          2026-03-25 19:48:18.216        78.61          
3          2026-03-25 19:48:18.296        58.05          
4          2026-03-25 19:48:18.357        52.51          
5          2026-03-25 19:48:18.412        78.21          
6          2026-03-25 19:48:18.498        63.03          
7          2026-03-25 19:48:18.563        69.07          
8          2026-03-25 19:48:18.636        72.37          
9          2026-03-25 19:48:18.713        70.35          
10         2026-03-25 19:48:18.786        63.95          
11         2026-03-25 19:48:18.853        59.32          
12         2026-03-25 19:48:18.917        64.64          
13         2026-03-25 19:48:18.984        50.67          
14         2026-03-25 19:48:19.039        94.90          
15         2026-03-25 19:48:19.135        73.25          
16         2026-03-25 19:48:19.210        65.27          
17         2026-03-25 19:48:19.277        69.86          
18         2026-03-25 19:48:19.349        54.76          
19         2026-03-25 19:48:19.406        50.64          
20         2026-03-25 19:48:19.458        73.52          
21         2026-03-25 19:48:19.533        89.04          
22         2026-03-25 19:48:19.628        75.90          
23         2026-03-25 19:48:19.710        59.02          
24         2026-03-25 19:48:19.771        49.07          
25         2026-03-25 19:48:19.824        81.32          
26         2026-03-25 19:48:19.909        56.00          
27         2026-03-25 19:48:19.968        67.91          
28         2026-03-25 19:48:20.037        92.85          
29         2026-03-25 19:48:20.131        64.14          
30         2026-03-25 19:48:20.198        70.84          
31         2026-03-25 19:48:20.271        48.64          
32         2026-03-25 19:48:20.323        65.92          
33         2026-03-25 19:48:20.391        75.64          
34         2026-03-25 19:48:20.468        72.78          
35         2026-03-25 19:48:20.543        83.03          
36         2026-03-25 19:48:20.630        60.42          
37         2026-03-25 19:48:20.692        75.80          
38         2026-03-25 19:48:20.770        54.44          
39         2026-03-25 19:48:20.826        72.43          
40         2026-03-25 19:48:20.901        48.41          
41         2026-03-25 19:48:20.953        82.27          
42         2026-03-25 19:48:21.037        70.19          
43         2026-03-25 19:48:21.110        74.55          
44         2026-03-25 19:48:21.190        69.28          
45         2026-03-25 19:48:21.264        60.04          
46         2026-03-25 19:48:21.325        72.97          
47         2026-03-25 19:48:21.400        60.25          
48         2026-03-25 19:48:21.463        62.94          
49         2026-03-25 19:48:21.529        58.89          
50         2026-03-25 19:48:21.592        82.87          
51         2026-03-25 19:48:21.680        59.07          
52         2026-03-25 19:48:21.741        70.69          
53         2026-03-25 19:48:21.814        75.76          
54         2026-03-25 19:48:21.892        51.24          
55         2026-03-25 19:48:21.954        79.32          
56         2026-03-25 19:48:22.034        61.91          
57         2026-03-25 19:48:22.099        57.11          
58         2026-03-25 19:48:22.167        66.79          
59         2026-03-25 19:48:22.236        68.35          
60         2026-03-25 19:48:22.306        55.78          
61         2026-03-25 19:48:22.365        73.59          
62         2026-03-25 19:48:22.443        81.78          
63         2026-03-25 19:48:22.526        59.91          
64         2026-03-25 19:48:22.588        78.43          
65         2026-03-25 19:48:22.671        83.10          
66         2026-03-25 19:48:22.756        62.02          
67         2026-03-25 19:48:22.820        64.46          
68         2026-03-25 19:48:22.886        72.22          
69         2026-03-25 19:48:22.962        62.92          
70         2026-03-25 19:48:23.028        67.15          
71         2026-03-25 19:48:23.098        71.57          
72         2026-03-25 19:48:23.178        69.98          
73         2026-03-25 19:48:23.251        66.75          
74         2026-03-25 19:48:23.319        55.80          
75         2026-03-25 19:48:23.377        59.53          
76         2026-03-25 19:48:23.439        70.80          
77         2026-03-25 19:48:23.511        59.22          
78         2026-03-25 19:48:23.572        64.47          
79         2026-03-25 19:48:23.638        64.49          
80         2026-03-25 19:48:23.704        48.62          
81         2026-03-25 19:48:23.755        51.79          
82         2026-03-25 19:48:23.811        67.34          
83         2026-03-25 19:48:23.883        62.92          
84         2026-03-25 19:48:23.949        80.71          
85         2026-03-25 19:48:24.031        60.12          
86         2026-03-25 19:48:24.095        66.09          
87         2026-03-25 19:48:24.163        73.15          
88         2026-03-25 19:48:24.242        77.86          
89         2026-03-25 19:48:24.321        81.65          
90         2026-03-25 19:48:24.405        73.67          
91         2026-03-25 19:48:24.480        57.49          
92         2026-03-25 19:48:24.540        83.48          
93         2026-03-25 19:48:24.625        65.73          
94         2026-03-25 19:48:24.693        81.06          
95         2026-03-25 19:48:24.776        65.65          
96         2026-03-25 19:48:24.844        69.02          
97         2026-03-25 19:48:24.918        73.13          
98         2026-03-25 19:48:24.994        81.06          
99         2026-03-25 19:48:25.077        67.41          
100        2026-03-25 19:48:25.146        53.53          
101        2026-03-25 19:48:25.203        58.25          
102        2026-03-25 19:48:25.263        70.34          
103        2026-03-25 19:48:25.335        75.03          
104        2026-03-25 19:48:25.414        62.43          
105        2026-03-25 19:48:25.479        73.06          
106        2026-03-25 19:48:25.555        56.76          
107        2026-03-25 19:48:25.619        63.39          
108        2026-03-25 19:48:25.683        62.73          
109        2026-03-25 19:48:25.748        48.85          
110        2026-03-25 19:48:25.802        39.15          
111        2026-03-25 19:48:25.845        68.66          
112        2026-03-25 19:48:25.920        59.74          
113        2026-03-25 19:48:25.982        55.77          
114        2026-03-25 19:48:26.044        62.11          
115        2026-03-25 19:48:26.107        67.22          
116        2026-03-25 19:48:26.175        43.58          
117        2026-03-25 19:48:26.223        59.05          
118        2026-03-25 19:48:26.285        69.01          
119        2026-03-25 19:48:26.356        70.65          
120        2026-03-25 19:48:26.432        71.28          
121        2026-03-25 19:48:26.507        61.53          
122        2026-03-25 19:48:26.571        58.92          
123        2026-03-25 19:48:26.633        71.02          
124        2026-03-25 19:48:26.708        81.99          
125        2026-03-25 19:48:26.803        80.17          
126        2026-03-25 19:48:26.887        68.04          
127        2026-03-25 19:48:26.957        67.83          
128        2026-03-25 19:48:27.029        83.70          
129        2026-03-25 19:48:27.121        40.70          
130        2026-03-25 19:48:27.163        64.00          
131        2026-03-25 19:48:27.232        75.31          
132        2026-03-25 19:48:27.309        44.02          
133        2026-03-25 19:48:27.356        103.71         
134        2026-03-25 19:48:27.463        59.52          
135        2026-03-25 19:48:27.524        63.22          
136        2026-03-25 19:48:27.590        53.55          
137        2026-03-25 19:48:27.646        59.55          
138        2026-03-25 19:48:27.708        72.69          
139        2026-03-25 19:48:27.783        46.38          
140        2026-03-25 19:48:27.833        80.86          
141        2026-03-25 19:48:27.915        36.86          
142        2026-03-25 19:48:27.956        83.08          
143        2026-03-25 19:48:28.041        72.43          
144        2026-03-25 19:48:28.115        53.45          
145        2026-03-25 19:48:28.170        70.93          
146        2026-03-25 19:48:28.244        62.49          
147        2026-03-25 19:48:28.313        58.06          
148        2026-03-25 19:48:28.374        87.49          
149        2026-03-25 19:48:28.464        70.10          
150        2026-03-25 19:48:28.538        73.55          
151        2026-03-25 19:48:28.613        61.52          
152        2026-03-25 19:48:28.677        72.41          
153        2026-03-25 19:48:28.751        51.43          
154        2026-03-25 19:48:28.805        83.77          
155        2026-03-25 19:48:28.891        77.38          
156        2026-03-25 19:48:28.973        69.68          
157        2026-03-25 19:48:29.047        65.72          
158        2026-03-25 19:48:29.115        48.90          
159        2026-03-25 19:48:29.165        65.96          
160        2026-03-25 19:48:29.234        85.23          
161        2026-03-25 19:48:29.326        42.32          
162        2026-03-25 19:48:29.378        61.10          
163        2026-03-25 19:48:29.442        65.76          
164        2026-03-25 19:48:29.510        79.96          
165        2026-03-25 19:48:29.592        42.29          
166        2026-03-25 19:48:29.638        60.35          
167        2026-03-25 19:48:29.700        84.59          
168        2026-03-25 19:48:29.786        85.19          
169        2026-03-25 19:48:29.875        77.50          
170        2026-03-25 19:48:29.953        63.97          
171        2026-03-25 19:48:30.018        62.14          
172        2026-03-25 19:48:30.082        85.38          
173        2026-03-25 19:48:30.169        73.95          
174        2026-03-25 19:48:30.246        56.58          
175        2026-03-25 19:48:30.306        57.93          
176        2026-03-25 19:48:30.372        78.24          
177        2026-03-25 19:48:30.451        62.99          
178        2026-03-25 19:48:30.515        86.08          
179        2026-03-25 19:48:30.603        73.01          
180        2026-03-25 19:48:30.679        65.57          
181        2026-03-25 19:48:30.746        88.16          
182        2026-03-25 19:48:30.840        71.28          
183        2026-03-25 19:48:30.914        70.32          
184        2026-03-25 19:48:30.987        60.81          
185        2026-03-25 19:48:31.050        55.40          
186        2026-03-25 19:48:31.109        62.10          
187        2026-03-25 19:48:31.175        80.76          
188        2026-03-25 19:48:31.258        51.50          
189        2026-03-25 19:48:31.312        73.00          
190        2026-03-25 19:48:31.387        88.97          
191        2026-03-25 19:48:31.482        74.24          
192        2026-03-25 19:48:31.559        51.43          
193        2026-03-25 19:48:31.611        57.02          
194        2026-03-25 19:48:31.671        111.78         
195        2026-03-25 19:48:31.784        77.28          
196        2026-03-25 19:48:31.864        65.27          
197        2026-03-25 19:48:31.932        67.16          
198        2026-03-25 19:48:32.000        57.98          
199        2026-03-25 19:48:32.061        68.27          
200        2026-03-25 19:48:32.133        59.52          
201        2026-03-25 19:48:32.196        92.67          
202        2026-03-25 19:48:32.291        51.09          
203        2026-03-25 19:48:32.347        84.62          
204        2026-03-25 19:48:32.436        102.85         
205        2026-03-25 19:48:32.549        104.69         
206        2026-03-25 19:48:32.656        45.17          
207        2026-03-25 19:48:32.704        96.78          
208        2026-03-25 19:48:32.804        78.44          
209        2026-03-25 19:48:32.886        72.44          
210        2026-03-25 19:48:32.960        65.00          
211        2026-03-25 19:48:33.033        71.48          
212        2026-03-25 19:48:33.107        78.92          
213        2026-03-25 19:48:33.188        84.86          
214        2026-03-25 19:48:33.276        66.61          
215        2026-03-25 19:48:33.346        83.98          
216        2026-03-25 19:48:33.431        79.89          
217        2026-03-25 19:48:33.513        76.13          
218        2026-03-25 19:48:33.592        76.34          
219        2026-03-25 19:48:33.671        65.56          
220        2026-03-25 19:48:33.740        71.22          
221        2026-03-25 19:48:33.813        86.00          
222        2026-03-25 19:48:33.906        78.74          
223        2026-03-25 19:48:33.987        100.57         
224        2026-03-25 19:48:34.090        78.34          
225        2026-03-25 19:48:34.171        52.15          
226        2026-03-25 19:48:34.226        84.69          
227        2026-03-25 19:48:34.319        56.78          
228        2026-03-25 19:48:34.383        55.74          
229        2026-03-25 19:48:34.442        75.62          
230        2026-03-25 19:48:34.520        49.11          
231        2026-03-25 19:48:34.572        63.08          
232        2026-03-25 19:48:34.653        95.25          
233        2026-03-25 19:48:34.751        73.17          
234        2026-03-25 19:48:34.834        71.74          
235        2026-03-25 19:48:34.909        57.04          
236        2026-03-25 19:48:34.970        76.63          
237        2026-03-25 19:48:35.048        59.59          
238        2026-03-25 19:48:35.111        54.32          
239        2026-03-25 19:48:35.168        50.22          
240        2026-03-25 19:48:35.221        94.32          
241        2026-03-25 19:48:35.319        83.24          
242        2026-03-25 19:48:35.408        54.59          
243        2026-03-25 19:48:35.468        79.50          
244        2026-03-25 19:48:35.549        63.44          
245        2026-03-25 19:48:35.615        84.82          
246        2026-03-25 19:48:35.703        102.79         
247        2026-03-25 19:48:35.808        80.51          
248        2026-03-25 19:48:35.891        68.67          
249        2026-03-25 19:48:35.965        66.43          
250        2026-03-25 19:48:36.033        67.54          
251        2026-03-25 19:48:36.105        70.12          
252        2026-03-25 19:48:36.177        67.52          
253        2026-03-25 19:48:36.246        61.64          
254        2026-03-25 19:48:36.318        69.73          
255        2026-03-25 19:48:36.389        58.05          
256        2026-03-25 19:48:36.448        76.22          
257        2026-03-25 19:48:36.527        64.79          
258        2026-03-25 19:48:36.593        58.36          
259        2026-03-25 19:48:36.654        61.71          
260        2026-03-25 19:48:36.718        87.34          
261        2026-03-25 19:48:36.808        81.49          
262        2026-03-25 19:48:36.892        79.99          
263        2026-03-25 19:48:36.974        83.35          
264        2026-03-25 19:48:37.059        68.58          
265        2026-03-25 19:48:37.130        66.49          
266        2026-03-25 19:48:37.199        61.72          
267        2026-03-25 19:48:37.262        51.02          
268        2026-03-25 19:48:37.319        74.15          
269        2026-03-25 19:48:37.396        64.99          
270        2026-03-25 19:48:37.464        57.53          
271        2026-03-25 19:48:37.523        74.16          
272        2026-03-25 19:48:37.599        67.03          
273        2026-03-25 19:48:37.669        73.64          
274        2026-03-25 19:48:37.751        58.94          
275        2026-03-25 19:48:37.815        71.72          
276        2026-03-25 19:48:37.889        57.14          
277        2026-03-25 19:48:37.948        82.61          
278        2026-03-25 19:48:38.034        49.23          
279        2026-03-25 19:48:38.085        67.22          
280        2026-03-25 19:48:38.154        81.39          
281        2026-03-25 19:48:38.238        75.01          
282        2026-03-25 19:48:38.316        68.87          
283        2026-03-25 19:48:38.387        57.37          
284        2026-03-25 19:48:38.446        52.49          
285        2026-03-25 19:48:38.502        64.48          
286        2026-03-25 19:48:38.569        73.87          
287        2026-03-25 19:48:38.647        50.96          
288        2026-03-25 19:48:38.700        76.23          
289        2026-03-25 19:48:38.779        67.20          
290        2026-03-25 19:48:38.847        86.84          
291        2026-03-25 19:48:38.939        92.38          
292        2026-03-25 19:48:39.035        81.40          
293        2026-03-25 19:48:39.119        76.64          
294        2026-03-25 19:48:39.197        72.80          
295        2026-03-25 19:48:39.272        72.87          
296        2026-03-25 19:48:39.346        67.31          
297        2026-03-25 19:48:39.416        47.94          
298        2026-03-25 19:48:39.466        82.23          
299        2026-03-25 19:48:39.550        81.25          
300        2026-03-25 19:48:39.637        60.12          
301        2026-03-25 19:48:39.700        65.66          
302        2026-03-25 19:48:39.770        75.30          
303        2026-03-25 19:48:39.848        71.15          
304        2026-03-25 19:48:39.922        62.01          
305        2026-03-25 19:48:39.986        58.20          
306        2026-03-25 19:48:40.047        68.83          
307        2026-03-25 19:48:40.119        55.57          
308        2026-03-25 19:48:40.176        73.84          
309        2026-03-25 19:48:40.251        97.81          
310        2026-03-25 19:48:40.356        91.81          
311        2026-03-25 19:48:40.449        79.09          
312        2026-03-25 19:48:40.532        78.74          
313        2026-03-25 19:48:40.616        70.63          
314        2026-03-25 19:48:40.688        89.49          
315        2026-03-25 19:48:40.784        88.60          
316        2026-03-25 19:48:40.881        71.86          
317        2026-03-25 19:48:40.956        79.93          
318        2026-03-25 19:48:41.040        77.25          
319        2026-03-25 19:48:41.119        72.90          
320        2026-03-25 19:48:41.195        68.42          
321        2026-03-25 19:48:41.266        82.33          
322        2026-03-25 19:48:41.354        65.99          
323        2026-03-25 19:48:41.422        71.52          
324        2026-03-25 19:48:41.505        60.38          
325        2026-03-25 19:48:41.572        78.62          
326        2026-03-25 19:48:41.654        67.23          
327        2026-03-25 19:48:41.724        86.15          
328        2026-03-25 19:48:41.812        78.35          
329        2026-03-25 19:48:41.893        73.14          
330        2026-03-25 19:48:41.969        86.56          
331        2026-03-25 19:48:42.061        74.15          
332        2026-03-25 19:48:42.138        71.84          
333        2026-03-25 19:48:42.211        46.52          
334        2026-03-25 19:48:42.260        77.98          
335        2026-03-25 19:48:42.339        58.41          
336        2026-03-25 19:48:42.400        64.26          
337        2026-03-25 19:48:42.467        56.28          
338        2026-03-25 19:48:42.527        46.26          
339        2026-03-25 19:48:42.583        88.17          
340        2026-03-25 19:48:42.677        88.44          
